,Unnamed: 0,1,X,2,1or2,Xor2,1orX
81,Rennes vs Reims,1.8,3.8,4.5,1.30,3.70,
82,Paris Saint Germain vs Lens,1.8,3.5,5.3,1.48,2.75,
83,Lille vs Montpellier HSC,2.5,3.2,3.1,1.47,2.80,
84,Brest vs Nice,1.4,5.3,7.8,1.14,6.10,
85,Clermont vs Angers SCO,1.22,6.9,14.5,1.15,6.10,
86,Strasbourg vs AC Ajaccio,1.85,4.0,3.85,1.17,5.00,
87,Auxerre vs Nantes,7.8,5.2,1.32,1.14,4.90,
88,AS Monaco vs Lorient,1.3,5.5,8.0,-,-,
89,Marseille vs Troyes AC,6.1,4.2,1.48,-,-,
90,Newcastle Jets vs Macarthur FC,1.52,4.1,5.8,-,-,
91,Shimshon Tel Aviv vs Hapoel Kfar Shalem,2.15,3.7,2.95,1.14,4.90,
92,Gyeongju Women vs Changnyeong Women,3.5,3.85,1.85,1.12,5.20,
93,Hwacheon KSPO vs Incheon (Women),1.18,7.5,11.5,1.06,7.50,
94,FC Seoul Women vs Busan Sangmu (Women),2.4,3.6,2.6,1.14,4.90,
95,Green Gully vs Hume City FC,2.45,3.5,2.6,1.20,3.95,
96,Valentine Phoenix vs Newcastle Olympic,1.95,3.25,3.95,1.42,2.65,
97,Broadmeadow Magic FC vs New Lambton,5.3,4.1,1.55,1.20,4.10,
98,Glenorchy Knights FC vs South Hobart,2.5,3.9,2.35,1.12,5.20,
99,Altona Magic vs St Albans Saints,2.5,3.05,2.85,1.45,2.55,
100,FC Lokomotiv Sofia 1929 vs Pirin Blagoevgrad,2.5,3.3,2.7,1.30,3.15,
101,Shimson Kfar Qasim vs Maccabi Herzliya,2.15,3.25,3.3,1.38,2.80,
102,Khan Tengri vs Kairat Academy,2.7,3.55,2.4,1.27,3.45,
103,Inhulets Petrove vs Kolos Kovalivka,2.2,3.4,3.05,1.30,3.20,
104,Hapoel Marmorek Ironi Rehovot vs Maccabi Yavne,5.1,4.3,1.55,1.18,4.20,
105,Maccabi Shaarayim vs Maccabi Ashdod,2.75,2.8,2.8,1.40,2.75,
106,MS Hulon Yaniv vs Beitar Tel Aviv Ramla,2.9,3.6,2.2,1.23,3.75,
107,Hapoel Herzliya vs Hapoel Bikat Hayarden,1.7,3.9,4.4,1.27,3.45,
108,MS Ironi Kuseife vs Bnei Eilat,2.2,4.0,2.7,-,-,
109,MS Tzeirey Taybe vs MS Tira,1.7,3.4,5.2,-,-,
110,Ironi Nesher vs Hapoel Qalansawe,1.85,3.65,3.75,1.23,3.75,
111,MS Tzeirey Kfar Kana vs Maccabi Nujeidat,7.5,4.1,1.42,1.32,3.10,
112,Watford U21 vs Ipswich U21,6.2,3.9,1.5,1.33,3.00,
113,Etar Veliko Tarnovo vs Minyor Pernik,1.52,3.95,6.1,1.28,3.35,
114,Hapoel Baka El Garbiya vs Maccabi Kiryat Ata Bialik,2.1,3.35,3.3,1.28,3.25,
115,FC Rukh Vynnyky vs Dinamo Kiev,3.0,3.1,2.4,1.37,2.85,
116,FC Septemvri (Sofia) vs FC CSKA 1948,1.38,4.6,7.5,1.23,3.75,
117,Hapoel Petach Tikva vs Hapoel Akko,1.58,4.8,4.3,-,-,
118,Bnei Yehuda Tel Aviv vs Maccabi Kabilio Jaffa,1.25,5.5,11.5,-,-,
119,Irony Tiberias vs Maccabi Petach Tikva,1.16,8.2,11.5,-,-,
120,Zrinjski Mostar vs Zeljeznicar,2.3,3.25,3.0,1.32,3.10,
